,HoleID,FromM,ToM,cx,cy,width,height,rot
0,KAD17_003,67,67.69,2484,1834,1436,125,0.007547
1,KAD17_003,66x,67,1003,1850,1512,120,0.008946
2,KAD17_003,66,66x,3000,1676,513,127,0.01561
3,KAD17_003,65,66,1499,1687,2155,130,0.00994
4,KAD17_003,64,64x,2206,1470,2044,121,0.006737
5,KAD17_003,63x,64,704,1482,955,118,0.006516
6,KAD17_003,63,63x,2638,1311,1181,128,0.01388
7,KAD17_003,62x,63,1110,1327,1511,118,0.00659
8,KAD17_003,62,62x,2702,1095,1055,116,0.009167
9,KAD17_003,61,62,1180,1112,1974,118,0.013217
10,KAD17_003,60,61,2144,940,2045,123,0.014211
11,KAD17_003,59x,60,637,959,824,118,0.008909
12,KAD17_003,59,59x,2392,722,1714,130,0.01226
13,KAD17_003,58x,59,889,742,1287,131,0.015831
14,KAD17_003,58,58x,2624,559,672,129,0.01075
15,KAD17_003,57,58,1271,576,2011,124,0.015647
16,KAD17_003,56,57,1782,352,2171,133,0.021058
17,KAD17_003,55x,56,432,375,518,129,0.010087
18,KAD17_003,55,55x,2477,182,1530,128,0.014542
19,KAD17_003,54.23,55,931,209,1544,129,0.016935
