,HoleID,FromM,ToM,cx,cy,width,height,rot
0,KAD17_003,119,120,1877,1312,2038,119,0.006406
1,KAD17_003,118,118x,2536,1091,1492,128,0.002135
2,KAD17_003,117x,118,1006,1097,1558,126,0.002135
3,KAD17_003,116,117,1554,940,2265,125,0.006479
4,KAD17_003,115,115x,2372,715,1837,125,0.008541
5,KAD17_003,114x,115,830,730,1235,124,0.010271
6,KAD17_003,114,114x,2864,555,850,121,0.013364
7,KAD17_003,113,114,1338,569,1975,120,0.007032
8,KAD17_003,112,113,2258,336,2078,132,0.0141
9,KAD17_003,111x,112,709,362,1008,127,0.017451
10,KAD17_003,111,111x,2778,171,1048,132,0.016677
11,KAD17_003,110,111,1155,194,1738,133,0.015573
