,HoleID,FromM,ToM,cx,cy,width,height,rot
0,KAD17_001,102,102.28,2951,1882,558,91,6.25701
1,KAD17_001,101,102,1538,1851,2058,91,6.25686
2,KAD17_001,100x,101,401,1822,210,92,6.258961
3,KAD17_001,100,100x,2382,1758,1789,88,6.260396
4,KAD17_001,99x,100,944,1726,1084,90,6.256199
5,KAD17_001,99,99x,2906,1660,754,87,6.264778
6,KAD17_001,98,99,1397,1625,1971,84,6.260728
7,KAD17_001,97x,98,345,1602,125,90,6.251782
8,KAD17_001,97,97x,2320,1507,1934,83,6.262678
9,KAD17_001,96x,97,822,1480,1049,87,6.261611
10,KAD17_001,96,96x,2816,1402,938,87,6.27052
11,KAD17_001,95,96,1245,1373,1912,80,6.261501
12,KAD17_001,94,95,2286,1280,2014,88,6.266066
13,KAD17_001,93x,94,796,1250,958,89,6.263637
14,KAD17_001,93,93x,2788,1152,1046,91,6.26555
15,KAD17_001,92x,93,1218,1122,1824,90,6.259992
16,KAD17_001,92,92x,3142,1043,146,86,6.258961
17,KAD17_001,91,92,2048,1021,2043,93,6.262201
18,KAD17_001,90x,91,661,994,712,91,6.256494
19,KAD17_001,90,90x,2593,912,1324,93,6.264593
20,KAD17_001,89.20,90,1114,893,1380,85,6.263083
21,KAD17_001,78,78.38,1469,718,720,124,6.268901
22,KAD17_001,77x,78,622,702,689,125,6.264409
23,KAD17_001,77,77x,2530,583,1347,122,6.264557
24,KAD17_001,76x,77,1060,558,1585,114,6.265404
25,KAD17_001,76,76x,3084,371,468,127,6.273834
26,KAD17_001,75,76,1817,353,2059,123,6.266949
27,KAD17_001,74x,75,517,324,440,122,6.270521
28,KAD17_001,74,74x,2491,200,1695,127,6.271697
29,KAD17_001,73.31,74,946,177,1346,122,6.269895
