,HoleID,FromM,ToM,cx,cy,width,height,rot
0,KAD17_003,109,109.96,2185,1840,1973,130,0.004307
1,KAD17_003,108,108x,2721,1678,978,122,0.004271
2,KAD17_003,106,107,1984,1468,2081,121,0.004381
3,KAD17_003,105,105x,2457,1308,1419,114,0.00648
4,KAD17_003,103,104,1794,1097,2029,116,0.011266
5,KAD17_003,102x,103,473,1115,609,119,0.013548
6,KAD17_003,102,102x,2424,938,1427,114,0.01642
7,KAD17_003,101x,102,894,960,1481,119,0.012554
8,KAD17_003,101,101x,2969,711,454,122,0.011081
9,KAD17_003,100,101,1694,729,2081,126,0.011118
10,KAD17_003,99x,100,396,747,496,123,0.017524
11,KAD17_003,99,99x,2315,564,1740,132,0.015831
12,KAD17_003,98x,99,765,593,1245,129,0.018592
13,KAD17_003,98,98x,2881,332,625,122,0.011376
14,KAD17_003,97,98,1532,358,2065,127,0.020469
15,KAD17_003,96x,97,314,379,363,128,0.026065
16,KAD17_003,96,96x,2281,182,1713,119,0.013327
17,KAD17_003,95.40,96,724,210,1202,121,0.019844
