,HoleID,FromM,ToM,cx,cy,width,height,rot
0,KAD17_001,25,25.3,4601,3415,1334,219,0.019255
1,KAD17_001,24,25,2449,3448,2956,222,0.017046
2,KAD17_001,23x,24,459,3476,550,209,0.030741
3,KAD17_001,23,23x,3596,3170,3255,220,0.018518
4,KAD17_001,22x,23,1075,3206,1768,201,0.017671
5,KAD17_001,22,22x,4437,2810,1635,223,0.01399
6,KAD17_001,21,22,1911,2841,3397,225,0.012738
7,KAD17_001,20,21,3218,2570,3424,213,0.012996
8,KAD17_001,19x,20,873,2601,1254,220,0.00902
9,KAD17_001,19,19x,3938,2197,2256,225,0.017046
10,KAD17_001,18x,19,1501,2229,2613,215,0.006994
11,KAD17_001,17,18,2408,1965,3459,197,0.010824
12,KAD17_001,16,16x,3539,1597,3068,199,0.00913
13,KAD17_001,15,15x,4275,1342,1374,197,0.002577
14,KAD17_001,13,13x,3838,989,2388,210,0.007363
