,HoleID,FromM,ToM,cx,cy,width,height,rot
0,KAD17_001,141,141.49,2773,1712,1000,90,6.267907
1,KAD17_001,140,141,1221,1682,1845,87,6.26452
2,KAD17_001,139,140,2259,1591,1992,84,6.268126
3,KAD17_001,138x,139,764,1560,989,85,6.263231
4,KAD17_001,138,138x,2579,1481,1061,90,6.265588
5,KAD17_001,137x,138,1087,1456,1626,87,6.263305
6,KAD17_001,137,137x,3053,1337,461,89,6.267723
7,KAD17_001,136,137,1810,1323,2016,87,6.270373
8,KAD17_001,135x,136,537,1304,522,88,6.263895
9,KAD17_001,135,135x,2499,1220,1543,91,6.266028
10,KAD17_001,134x,135,960,1198,1391,85,6.270153
11,KAD17_001,134,134x,2872,1111,699,88,6.270263
12,KAD17_001,133,134,1629,1094,1777,84,6.27008
13,KAD17_001,132x,133,500,1081,476,88,6.272509
14,KAD17_001,132,132x,2494,964,1578,83,6.270374
15,KAD17_001,131x,132,936,938,1329,90,6.269269
16,KAD17_001,131,131x,2922,856,697,90,6.27008
17,KAD17_001,130,131,1510,836,2107,87,6.269931
18,KAD17_001,129x,130,355,819,193,86,6.265587
19,KAD17_001,129,129x,2379,730,1850,90,6.269343
20,KAD17_001,128x,129,787,712,1052,89,6.27203
21,KAD17_001,128,128x,2769,598,935,86,6.268202
22,KAD17_001,127,128,1287,575,2007,84,6.268238
23,KAD17_001,126,127,2275,475,2082,84,6.272325
24,KAD17_001,125x,126,699,453,863,88,6.271441
25,KAD17_001,125,125x,2649,360,1178,96,6.269711
26,KAD17_001,124x,125,1158,340,1790,86,6.271663
27,KAD17_001,123,124,1982,211,2051,95,6.274496
28,KAD17_001,122x,123,580,197,587,88,6.272472
29,KAD17_001,122,122x,2466,93,1509,86,6.277258
30,KAD17_001,121x,122,991,79,1435,87,6.275379
