,HoleID,FromM,ToM,cx,cy,width,height,rot
0,KAD17_001,119,119.86,2266,1513,1652,89,6.260801
1,KAD17_001,118x,119,822,1474,1220,84,6.253291
2,KAD17_001,118,118x,2831,1410,799,85,6.257783
3,KAD17_001,117,118,1428,1378,1989,81,6.259772
4,KAD17_001,116x,117,288,1348,125,92,6.248911
5,KAD17_001,116,116x,2240,1283,1725,84,6.260617
6,KAD17_001,115x,116,798,1251,1152,84,6.26117
7,KAD17_001,115,115x,2735,1151,857,94,6.269969
8,KAD17_001,114,115,1312,1125,1979,88,6.262679
9,KAD17_001,113,114,2037,1023,1733,84,6.26404
10,KAD17_001,112x,113,693,995,952,86,6.263305
11,KAD17_001,112,112x,2549,913,1118,87,6.263857
12,KAD17_001,111,112,1221,891,1541,87,6.265882
13,KAD17_001,110x,111,313,876,184,88,6.269821
14,KAD17_001,110,110x,2205,771,1975,86,6.265919
15,KAD17_001,109x,110,724,743,988,82,6.261024
16,KAD17_001,109,109x,2742,663,1028,89,6.263858
17,KAD17_001,108,109,1228,638,1988,86,6.265549
18,KAD17_001,107,108,2122,541,1974,89,6.269858
19,KAD17_001,106x,107,684,519,896,89,6.270152
20,KAD17_001,106,106x,2615,401,1123,93,6.26695
21,KAD17_001,105x,106,1149,377,1795,88,6.265146
22,KAD17_001,105,105x,3063,287,248,95,6.26765
23,KAD17_001,104,105,1823,271,1995,93,6.265477
24,KAD17_001,103x,104,567,251,517,93,6.275896
25,KAD17_001,103,103x,2493,162,1573,98,6.265624
26,KAD17_001,102.28,103,987,143,1415,89,6.273355
