,HoleID,FromM,ToM,cx,cy,width,height,rot
0,KAD17_001,227,228.00,2263,1850,1947,86,6.257894
1,KAD17_001,226x,227,810,1815,955,87,6.257083
2,KAD17_001,226,226x,2724,1752,1016,81,6.258519
3,KAD17_001,225x,226,1304,1721,1823,83,6.256495
4,KAD17_001,224,225,1946,1623,1866,80,6.262569
5,KAD17_001,223x,224,684,1595,649,84,6.260139
6,KAD17_001,223,223x,2519,1498,1434,80,6.270705
7,KAD17_001,222x,223,1119,1472,1363,82,6.260508
8,KAD17_001,222,222x,2946,1393,606,91,6.27873
9,KAD17_001,221,222,1534,1368,1992,79,6.265735
10,KAD17_001,220x,221,434,1349,200,87,6.258555
11,KAD17_001,220,220x,2368,1276,1767,80,6.270337
12,KAD17_001,219x,220,924,1248,1117,80,6.260839
13,KAD17_001,219,219x,2831,1146,843,92,6.27667
14,KAD17_001,218,219,1284,1126,1876,84,6.265588
15,KAD17_001,217,218,2250,1021,1968,87,6.269674
16,KAD17_001,216x,217,796,1004,936,87,6.265146
17,KAD17_001,216,216x,2708,920,1036,88,6.272031
18,KAD17_001,215x,216,1204,901,1772,86,6.270116
19,KAD17_001,214,215,2164,774,1977,87,6.272325
20,KAD17_001,213x,214,759,756,835,87,6.268275
21,KAD17_001,213,213x,2656,668,1157,86,6.271294
22,KAD17_001,212x,213,1178,651,1550,90,6.270741
23,KAD17_001,212,212x,3023,563,463,89,6.270079
24,KAD17_001,211,212,1798,545,1987,92,6.267428
25,KAD17_001,210x,211,584,529,440,89,6.265514
26,KAD17_001,210,210x,2501,407,1564,96,6.273724
27,KAD17_001,209x,210,945,395,1204,95,6.275012
28,KAD17_001,209,209x,2764,304,918,92,6.270226
29,KAD17_001,208,209,1334,292,1934,98,6.272251
30,KAD17_001,207,208,2314,187,1970,83,6.272472
31,KAD17_001,206.55,207,765,172,813,90,6.272215
