,HoleID,FromM,ToM,cx,cy,width,height,rot
0,KAD17_001,66.8,67.5,2297,2079,1747,121,0.017966
1,KAD17_001,66x,66.8,719,2103,1201,122,0.012737
2,KAD17_001,65,66,1471,1926,2087,119,0.015094
3,KAD17_001,64x,65,242,1944,356,122,0.014726
4,KAD17_001,64,64x,2315,1691,1834,137,0.011266
5,KAD17_001,63x,64,721,1706,1335,130,0.013769
6,KAD17_001,62x,63,1236,1538,2371,123,0.008945
7,KAD17_001,61,62,1932,1309,2352,122,0.002135
8,KAD17_001,60x,61,415,1316,671,130,0.010787
9,KAD17_001,60,60x,2534,1133,1465,128,0.003718
10,KAD17_001,59x,60,871,1143,1576,124,0.002135
11,KAD17_001,58,59,1836,915,2165,118,0.002467
12,KAD17_001,57,57x,2527,747,1464,118,0.004676
13,KAD17_001,56x,57,865,750,1669,125,0.002503
14,KAD17_001,54x,55,279,517,471,130,6.276853
