,HoleID,FromM,ToM,cx,cy,width,height,rot
0,KAD17_003,80,81,1818,1844,2085,127,6.276742
1,KAD17_003,79x,80,551,1832,442,121,6.271662
2,KAD17_003,79,79x,2323,1699,1620,120,6.278915
3,KAD17_003,78x,79,917,1685,1181,121,6.271405
4,KAD17_003,77x,78,1269,1481,1912,125,6.279062
5,KAD17_003,75,76,2307,1109,1971,125,0.004013
6,KAD17_003,74,74x,2665,949,1182,124,0.011118
7,KAD17_003,72,73,2018,727,2079,127,0.011486
8,KAD17_003,71x,72,609,742,625,119,0.013474
9,KAD17_003,71,71x,2603,554,1525,117,0.009204
10,KAD17_003,70x,71,1073,576,1520,112,0.014211
11,KAD17_003,70,70x,2982,333,572,130,0.013548
12,KAD17_003,69,70,1666,354,2064,122,0.015867
13,KAD17_003,68x,69,416,373,278,126,0.023157
14,KAD17_003,68,68x,1964,185,2223,117,0.016603
15,KAD17_003,67.69,68,562,207,575,120,0.016236
