,HoleID,FromM,ToM,cx,cy,width,height,rot
0,KAD17_001,53,53.37,2896,2066,773,116,0.013106
1,KAD17_001,52,53,1496,2087,2021,115,0.015205
2,KAD17_001,51,51x,2419,1905,1770,116,0.010897
3,KAD17_001,50x,51,683,1934,1206,134,0.016567
4,KAD17_001,50,50x,2675,1685,1068,130,0.009756
5,KAD17_001,49x,50,1112,1706,2057,146,0.01064
6,KAD17_001,48,49,2022,1534,2200,141,0.007216
7,KAD17_001,47,47x,2594,1302,1410,131,0.014837
8,KAD17_001,46x,47,985,1320,1805,149,0.010971
9,KAD17_001,46,46x,2806,1142,987,132,0.004528
10,KAD17_001,45,46,1189,1154,2220,134,0.011781
11,KAD17_001,44,45,2208,918,2126,123,0.008578
12,KAD17_001,43x,44,664,926,950,124,0.002283
13,KAD17_001,42x,43,984,756,1743,121,0.001951
