,HoleID,FromM,ToM,cx,cy,width,height,rot
0,KAD17_003,52,52x,2514,1690,1656,133,0.002135
1,KAD17_003,49,49x,2285,1313,1879,123,0.006553
2,KAD17_003,48x,49,815,1324,1049,125,0.008836
3,KAD17_003,48,48x,2696,1096,1178,128,0.013217
4,KAD17_003,47x,48,1078,1105,1562,130,0.005044
5,KAD17_003,47,47x,2936,932,783,132,0.00648
6,KAD17_003,46x,47,1190,952,1795,131,0.014505
7,KAD17_003,46,46x,2385,721,1110,141,0.013659
8,KAD17_003,45x,46,1058,737,1534,137,0.008946
9,KAD17_003,44,45,1626,573,2056,130,0.014983
10,KAD17_003,43x,44,441,583,318,133,0.010971
11,KAD17_003,43,43x,2212,342,2188,144,0.013033
12,KAD17_003,42x,43,818,361,598,145,0.018518
13,KAD17_003,42,42x,2558,172,1570,119,0.014027
14,KAD17_003,41.35,42,1017,197,1499,125,0.013511
